RefundClaim,QuarterYear,ExportGal,InterstateGal,MotorCarrierGal,PurchasedFromCAGal,FedGovGal,TotalOilGal,TotalAmount
11767,April - June 2006,5135,0,0,0,0,5135,821.6
12513,October - December 2006,14688,0,0,0,0,14688,2350.08
12517,October - December 2006,8067,0,0,0,0,8067,1290.72
12518,October - December 2006,407.5,0,486,0,0,893.5,142.96
12519,October - December 2006,0,0,3160,0,0,3160,505.6
12520,October - December 2006,0,0,1812,0,0,1812,289.92
12524,October - December 2006,0,0,1650,0,0,1650,264
12525,October - December 2006,0,0,3052,0,0,3052,488.32
12526,October - December 2006,28311,0,0,0,0,28311,4529.76
12527,October - December 2006,421.5,0,630,0,0,1051.5,168.24
12528,October - December 2006,0,0,619,0,0,619,99.04
12529,October - December 2006,67267,0,0,0,0,67267,10762.72
12530,October - December 2006,0,0,3576,0,0,3576,572.16
12531,October - December 2006,2259,0,0,0,0,2259,361.44
12532,October - December 2006,0,0,879,0,0,879,140.64
12533,October - December 2006,0,0,1050,0,0,1050,168
12534,October - December 2006,530.5,0,1063,0,0,1593.5,254.96
12535,October - December 2006,26345,0,0,0,0,26345,4215.2
12536,October - December 2006,0,0,221,0,0,221,35.36
12537,October - December 2006,0,0,2143,0,0,2143,342.88
12538,October - December 2006,0,0,4231,0,0,4231,676.96
12746,January - March 2007,0,0,852,0,0,852,136.32
12747,January - March 2007,0,0,330,0,0,330,52.8
12749,January - March 2007,0,0,24340,0,0,24340,3894.4
12750,January - March 2007,2091,0,30122,0,0,32213,5154.08
12751,January - March 2007,6162,0,23227,0,0,29389,4702.24
12752,January - March 2007,5653,0,21628,0,0,27281,4364.96
12753,January - March 2007,3125,0,0,0,0,3125,500
12754,January - March 2007,0,0,815,0,0,815,130.4
12755,January - March 2007,8785,0,0,0,0,8785,1405.6
12757,January - March 2007,7089.34,0,0,0,0,7089.34,1134.29
12758,January - March 2007,0,0,2187,0,0,2187,349.92
12759,January - March 2007,16541,0,0,0,0,16541,2646.56
12760,January - March 2007,0,0,2472,0,0,2472,395.52
12763,January - March 2007,559,0,0,0,0,559,89.44
12772,January - March 2007,0,0,1009,0,0,1009,161.44
12773,January - March 2007,0,0,954,0,0,954,152.64
12774,January - March 2007,0,0,445,0,0,445,71.2
12775,January - March 2007,0,0,661,0,0,661,105.76
12776,January - March 2007,0,0,1136,0,0,1136,181.76
12777,January - March 2007,21246,0,0,0,0,21246,3399.36
12778,January - March 2007,303,0,156,0,0,459,73.44
12779,January - March 2007,0,0,219,0,0,219,35.04
12780,January - March 2007,0,0,2079,0,0,2079,332.64
12781,January - March 2007,0,0,3032,0,0,3032,485.12
12782,January - March 2007,440,0,441,0,0,881,140.96
12783,January - March 2007,0,0,407,0,0,407,65.12
12784,January - March 2007,0,0,437,0,0,437,69.92
12785,January - March 2007,0,0,440,0,0,440,70.4
12786,January - March 2007,204,0,424,0,0,628,100.48
12787,January - March 2007,0,0,1437,0,0,1437,229.92
12788,January - March 2007,2860,0,0,0,0,2860,457.6
12789,January - March 2007,22281.7,0,0,0,0,22281.7,3565.07
12790,January - March 2007,49648,0,0,0,0,49648,7943.68
12792,January - March 2007,25880,0,0,0,0,25880,4140.8
12795,January - March 2007,0,0,2998,0,0,2998,479.68
12796,January - March 2007,9066,0,0,0,0,9066,1450.56
12797,January - March 2007,22521.86,0,0,0,0,22521.86,3603.5
12798,January - March 2007,16510,0,0,0,0,16510,2641.6
12799,January - March 2007,30751,0,0,0,0,30751,4920.16
12800,January - March 2007,6361.6,0,0,0,0,6361.6,1017.86
12801,January - March 2007,0,0,3771,0,0,3771,603.36
12802,January - March 2007,0,0,3300,0,0,3300,528
12803,January - March 2007,0,0,835,0,0,835,133.6
12804,January - March 2007,358,0,756,0,0,1114,178.24
12805,January - March 2007,0,0,18974,0,0,18974,3035.84
12806,January - March 2007,16302.5,0,0,0,0,16302.5,2608.4
12807,January - March 2007,0,0,9346,0,0,9346,1495.36
12809,January - March 2007,27198,0,0,0,0,27198,4351.68
12810,January - March 2007,0,0,844,0,0,844,135.04
12811,January - March 2007,9218,0,0,0,0,9218,1474.88
12812,January - March 2007,0,0,939,0,0,939,150.24
12813,January - March 2007,0,0,2289,0,0,2289,366.24
12814,January - March 2007,14855,0,0,0,0,14855,2376.8
12815,January - March 2007,0,0,347,0,0,347,55.52
12816,January - March 2007,9930,0,0,0,0,9930,1588.8
12817,January - March 2007,0,0,1365,0,0,1365,218.4
12818,January - March 2007,8340,0,0,0,0,8340,1334.4
12819,January - March 2007,11068,0,0,0,0,11068,1770.88
12820,January - March 2007,3416,0,0,0,0,3416,546.56
12821,January - March 2007,12007,0,0,0,0,12007,1921.12
12822,January - March 2007,9735,0,0,0,0,9735,1557.6
12823,January - March 2007,4723.34,0,0,0,0,4723.34,755.73
12824,January - March 2007,0,0,1791,0,0,1791,286.56
12825,January - March 2007,76888.16,0,0,0,0,76888.16,12302.11
12826,January - March 2007,0,0,472,0,0,472,75.52
12827,January - March 2007,3410,0,0,0,0,3410,545.6
12828,January - March 2007,2520,0,0,0,0,2520,403.2
12829,January - March 2007,0,0,3024,0,0,3024,483.84
12830,January - March 2007,4500,0,0,0,0,4500,720
13018,April - June 2007,8757,0,0,0,0,8757,1401.12
13019,April - June 2007,0,0,310,0,0,310,49.6
13020,April - June 2007,0,0,831,0,0,831,132.96
13021,April - June 2007,375.5,0,453,0,0,828.5,132.56
13022,April - June 2007,0,0,382,0,0,382,61.12
13023,April - June 2007,0,0,471,0,0,471,75.36
13024,April - June 2007,0,0,1730,0,0,1730,276.8
13025,April - June 2007,0,0,1920,0,0,1920,307.2
13036,April - June 2007,0,0,250,0,0,250,40
13037,April - June 2007,0,0,354.34,0,0,354.34,56.69
13038,April - June 2007,2774,0,0,0,0,2774,443.84
13039,April - June 2007,3174,0,0,0,0,3174,507.84
13040,April - June 2007,14346,0,0,0,0,14346,2295.36
13041,April - June 2007,0,0,225,0,0,225,36
13042,April - June 2007,0,0,200,0,0,200,32
13043,April - June 2007,0,0,697,0,0,697,111.52
13044,April - June 2007,0,0,1881,0,0,1881,300.96
13045,April - June 2007,0,0,550,0,0,550,88
13050,April - June 2007,18132,0,0,0,0,18132,2901.12
13051,April - June 2007,27366,0,0,0,0,27366,4378.56
13052,April - June 2007,19206,0,0,0,0,19206,3072.96
13053,April - June 2007,868,0,1514,0,0,2382,381.12
13054,April - June 2007,0,0,227,0,0,227,36.32
13055,April - June 2007,47671,0,0,0,0,47671,7627.36
13056,April - June 2007,0,0,404,0,0,404,64.64
13057,April - June 2007,13171.75,0,275,0,0,13446.75,2151.48
13058,April - June 2007,0,0,3793,0,0,3793,606.88
13059,April - June 2007,3300,0,0,0,0,3300,528
13060,April - June 2007,0,0,2585,0,0,2585,413.6
13061,April - June 2007,2045,0,0,0,0,2045,327.2
13062,April - June 2007,8308.67,0,0,0,0,8308.67,1329.39
13063,April - June 2007,5608,0,0,0,0,5608,897.28
13064,April - June 2007,440,0,907,0,0,1347,215.52
13065,April - June 2007,0,0,679,0,0,679,108.64
13066,April - June 2007,2497,0,0,0,0,2497,399.52
13067,April - June 2007,6872,0,0,0,0,6872,1099.52
13068,April - June 2007,0,0,3149,0,0,3149,503.84
13069,April - June 2007,65219.5,0,0,0,0,65219.5,10435.12
13070,April - June 2007,11887,0,0,0,0,11887,1901.92
13071,April - June 2007,3308,0,0,0,0,3308,529.28
13072,April - June 2007,31562.3,0,0,0,0,31562.3,5049.97
13073,April - June 2007,10646,0,0,0,0,10646,1703.36
13074,April - June 2007,17325.5,0,0,0,0,17325.5,2772.08
13075,April - June 2007,381.5,0,867,0,0,1248.5,199.76
13076,April - June 2007,0,0,4038,0,0,4038,646.08
13077,April - June 2007,0,0,2060,0,0,2060,329.6
13079,April - June 2007,11700,0,0,0,0,11700,1872
13080,April - June 2007,0,0,1140,0,0,1140,182.4
13081,April - June 2007,498.5,0,588,0,0,1086.5,173.84
13082,April - June 2007,0,0,5815,0,0,5815,930.4
13083,April - June 2007,1638,0,324,0,0,1962,313.92
13084,July - September 2007,14764,0,0,0,0,14764,2362.24
13085,July - September 2007,0,0,720,0,0,720,115.2
13086,July - September 2007,11893.67,0,0,0,0,11893.67,1902.99
13283,July - September 2007,1754,0,954,0,0,2708,433.28
13284,July - September 2007,0,0,707,0,0,707,113.12
13285,July - September 2007,0,0,339,0,0,339,54.24
13286,July - September 2007,0,0,615,0,0,615,98.4
13287,July - September 2007,0,0,1870,0,0,1870,299.2
13288,July - September 2007,3945,0,0,0,0,3945,631.2
13289,July - September 2007,0,0,3382,0,0,3382,541.12
13290,July - September 2007,12521,0,0,0,0,12521,2003.36
13291,July - September 2007,38205,0,0,0,0,38205,6112.8
13292,July - September 2007,12599,0,0,0,0,12599,2015.84
13295,July - September 2007,6048,0,0,0,0,6048,967.68
13296,July - September 2007,2358,0,0,0,0,2358,377.28
13304,July - September 2007,0,0,3235,0,0,3235,517.6
13305,July - September 2007,0,0,275,0,0,275,44
13306,July - September 2007,0,0,1291,0,0,1291,206.56
13307,July - September 2007,0,0,1760,0,0,1760,281.6
13308,July - September 2007,64988.5,0,0,0,0,64988.5,10398.16
13309,July - September 2007,2136,0,0,0,0,2136,341.76
13310,July - September 2007,37296,0,0,0,0,37296,5967.36
13311,July - September 2007,0,0,590,0,0,590,94.4
13312,July - September 2007,0,0,3635,0,0,3635,581.6
13313,July - September 2007,10332.6,0,0,0,0,10332.6,1653.22
13314,July - September 2007,15348.7,0,0,0,0,15348.7,2455.79
13315,July - September 2007,11630.3,0,0,0,0,11630.3,1860.85
13316,July - September 2007,14520.7,0,0,0,0,14520.7,2323.31
13318,July - September 2007,2515,0,0,0,0,2515,402.4
13319,July - September 2007,2160,0,0,0,0,2160,345.6
13320,July - September 2007,10794.67,0,0,0,0,10794.67,1727.15
13321,July - September 2007,286,0,527,0,0,813,130.08
13322,July - September 2007,10584,0,0,0,0,10584,1693.44
13323,July - September 2007,0,0,242,0,0,242,38.72
13324,July - September 2007,45962,0,616,0,0,46578,7452.48
13325,July - September 2007,0,0,359,0,0,359,57.44
13326,July - September 2007,0,0,2756,0,0,2756,440.96
13327,July - September 2007,15320,0,0,0,0,15320,2451.2
13328,July - September 2007,0,0,589,0,0,589,94.24
13329,July - September 2007,21477,0,0,0,0,21477,3436.32
13330,July - September 2007,14387,0,0,0,0,14387,2301.92
13333,July - September 2007,378.5,0,972,0,0,1350.5,216.08
13334,July - September 2007,0,0,2935,0,0,2935,469.6
13335,July - September 2007,0,0,645,0,0,645,103.2
13530,July - September 2007,0,0,2337,0,0,2337,373.92
13531,July - September 2007,0,0,3141,0,0,3141,502.56
13532,July - September 2007,14355,0,0,0,0,14355,2296.8
13533,July - September 2007,2970,0,0,0,0,2970,475.2
13534,July - September 2007,0,0,250,0,0,250,40
13535,July - September 2007,6569.67,0,0,0,0,6569.67,1051.15
13536,July - September 2007,0,0,1034,0,0,1034,165.44
13537,July - September 2007,16915,0,265,0,0,17180,2748.8
13538,October - December 2007,13385,0,0,0,0,13385,2141.6
13539,October - December 2007,1092,0,1084,0,0,2176,348.16
13540,October - December 2007,0,0,229,0,0,229,36.64
13541,October - December 2007,17567,0,0,0,0,17567,2810.72
13542,October - December 2007,363,0,1136,0,0,1499,239.84
13543,October - December 2007,193,0,1491,0,0,1684,269.44
13544,October - December 2007,0,0,3031,0,0,3031,484.96
13545,October - December 2007,0,0,9345,0,0,9345,1495.2
13546,October - December 2007,0,0,864,0,0,864,138.24
13547,October - December 2007,61318.25,0,0,0,0,61318.25,9810.92
13548,October - December 2007,16997.75,0,320,0,0,17317.75,2770.84
13549,October - December 2007,2637,0,0,0,0,2637,421.92
13550,October - December 2007,5669.19,0,0,0,0,5669.19,907.07
13551,October - December 2007,0,0,12657,0,0,12657,2025.12
13552,October - December 2007,3804.67,0,0,0,0,3804.67,608.75
13553,October - December 2007,0,0,982,0,0,982,157.12
13554,October - December 2007,3042,0,0,0,0,3042,486.72
13555,October - December 2007,33397,0,10361,0,0,43758,7001.28
13556,October - December 2007,0,0,769,0,0,769,123.04
13557,October - December 2007,0,0,576,0,0,576,92.16
13558,October - December 2007,0,0,1801,0,0,1801,288.16
13559,October - December 2007,12901,0,0,0,0,12901,2064.16
13560,October - December 2007,0,0,2875,0,0,2875,460
13561,October - December 2007,10584,0,0,0,0,10584,1693.44
13562,October - December 2007,8615,0,0,0,0,8615,1378.4
13563,October - December 2007,9233.34,0,0,0,0,9233.34,1477.33
13564,October - December 2007,0,0,4212,0,0,4212,673.92
13565,October - December 2007,389,0,687,0,0,1076,172.16
13566,October - December 2007,8002,0,6942,0,0,14944,2391.04
13567,October - December 2007,0,0,4518,0,0,4518,722.88
13568,October - December 2007,0,0,1531,0,0,1531,244.96
13569,October - December 2007,0,0,1851,0,0,1851,296.16
13570,October - December 2007,0,0,3186,0,0,3186,509.76
13572,October - December 2007,5404.67,0,19095,0,0,24499.67,3919.95
13573,October - December 2007,0,0,1450,0,0,1450,232
13575,October - December 2007,22980,0,0,0,0,22980,3676.8
13577,October - December 2007,0,0,1895,0,0,1895,303.2
13579,October - December 2007,4154,0,37943,0,0,42097,6735.52
13777,January - March 2008,10089,0,0,0,0,10089,1614.24
13778,January - March 2008,59.04,0,749.96,0,0,809,129.44
13779,January - March 2008,5292,0,0,0,0,5292,846.72
13780,January - March 2008,0,0,249,0,0,249,39.84
13781,January - March 2008,0,0,2092,0,0,2092,334.72
13782,January - March 2008,0,0,1515,0,0,1515,242.4
13783,January - March 2008,0,0,3352,0,0,3352,536.32
13784,January - March 2008,0,0,6216,0,0,6216,994.56
14169,January - March 2008,0,0,673,0,0,673,107.68
14170,January - March 2008,7560,0,0,0,0,7560,1209.6
14171,January - March 2008,0,0,876,0,0,876,140.16
14172,January - March 2008,1970.34,0,0,0,0,1970.34,315.25
14173,January - March 2008,0,0,836,0,0,836,133.76
14174,January - March 2008,0,0,11268,0,0,11268,1802.88
14175,January - March 2008,204,0,815,0,0,1019,163.04
14176,January - March 2008,0,0,200,0,0,200,32
14178,January - March 2008,0,0,3142,0,0,3142,502.72
14179,January - March 2008,440,0,0,0,0,440,70.4
14180,January - March 2008,325,0,504,0,0,829,132.64
14181,January - March 2008,6790,0,0,0,0,6790,1086.4
14182,January - March 2008,440,0,0,0,0,440,70.4
14183,January - March 2008,13504.88,0,4371,0,0,17875.88,2860.14
14185,January - March 2005,9525.5,0,0,0,0,9525.5,1524.08
14186,January - March 2008,27836.34,0,3778.5,0,0,31614.84,5058.37
14187,January - March 2005,17702.5,0,0,0,0,17702.5,2832.4
14188,January - March 2008,3471,0,0,0,0,3471,555.36
14189,January - March 2008,914,0,1363,0,0,2277,364.32
14190,January - March 2008,13847,0,1660,0,0,15507,2481.12
14191,January - March 2008,10080,0,0,0,0,10080,1612.8
14192,January - March 2008,0,0,3039,0,0,3039,486.24
14193,January - March 2008,245,0,436,0,0,681,108.96
14194,January - March 2008,0,0,2442,0,0,2442,390.72
14196,January - March 2008,13035,0,0,0,0,13035,2085.6
14197,January - March 2008,0,0,802,0,0,802,128.32
14198,January - March 2008,116502.31,0,0,0,0,116502.31,18640.37
14199,January - March 2008,7213,0,0,0,0,7213,1154.08
14200,January - March 2008,0,0,3325,0,0,3325,532
14201,January - March 2008,39604.12,0,0,0,0,39604.12,6336.66
14202,January - March 2008,0,0,2831,0,0,2831,452.96
14203,January - March 2008,0,0,2756,0,0,2756,440.96
14395,January - March 2008,10919.34,0,0,0,0,10919.34,1747.09
14396,January - March 2008,0,0,1115,0,0,1115,178.4
14397,January - March 2008,12331,0,0,0,0,12331,1972.96
14398,January - March 2008,239,0,415,0,0,654,104.64
14399,January - March 2008,5292,0,0,0,0,5292,846.72
14400,January - March 2008,0,0,251,0,0,251,40.16
14401,January - March 2008,0,0,3502,0,0,3502,560.32
14402,January - March 2008,0,0,1692,0,0,1692,270.72
14403,April - June 2008,16003.8,0,0,0,0,16003.8,2560.61
14404,April - June 2008,17295.8,0,0,0,0,17295.8,2767.33
14405,April - June 2008,17988,0,0,0,0,17988,2878.08
14406,April - June 2008,13618.7,0,0,0,0,13618.7,2178.99
14407,April - June 2008,16165.4,0,0,0,0,16165.4,2586.46
14408,April - June 2008,13975.6,0,0,0,0,13975.6,2236.1
14409,April - June 2008,15333.9,0,0,0,0,15333.9,2453.42
14410,April - June 2008,4373.67,0,0,0,0,4373.67,699.79
14411,April - June 2008,1821,0,1395,0,0,3216,514.56
14412,April - June 2008,0,0,7480,0,0,7480,1196.8
14413,April - June 2008,19987.75,0,0,0,0,19987.75,3198.04
14414,April - June 2008,0,0,60513,0,0,60513,9682.08
14415,April - June 2008,0,0,7239,0,0,7239,1158.24
14416,April - June 2008,3840,0,12859,0,0,16699,2671.84
14417,April - June 2008,1209,0,0,0,0,1209,193.44
14418,April - June 2008,37.12,0,630,0,0,667.12,106.74
14419,April - June 2008,0,0,5384,0,0,5384,861.44
14420,April - June 2008,0,0,4658,0,0,4658,745.28
14421,April - June 2008,0,0,2657,0,0,2657,425.12
14422,April - June 2008,7308,0,17180,0,0,24488,3918.08
14423,April - June 2008,813,0,0,0,0,813,130.08
14424,April - June 2008,17910.18,0,0,0,0,17910.18,2865.63
14425,April - June 2008,21912.84,0,0,0,0,21912.84,3506.05
14428,April - June 2008,2100,0,0,0,0,2100,336
14429,April - June 2008,0,0,301.75,0,0,301.75,48.28
14430,April - June 2008,37033,0,60,0,0,37093,5934.88
14431,April - June 2008,285,0,3081,0,0,3366,538.56
14433,April - June 2008,516,0,446.87,0,0,962.87,154.06
14434,April - June 2008,0,0,228,0,0,228,36.48
14435,April - June 2008,0,0,1886,0,0,1886,301.76
14436,April - June 2008,5631,0,0,0,0,5631,900.96
14437,April - June 2008,10826,0,0,0,0,10826,1732.16
14438,April - June 2008,0,0,3072,0,0,3072,491.52
14439,April - June 2008,0,0,1590,0,0,1590,254.4
14440,April - June 2008,5660.69,0,0,0,0,5660.69,905.71
14441,April - June 2008,440,0,1027,0,0,1467,234.72
14442,April - June 2008,4740,0,2195,0,0,6935,1109.6
14443,April - June 2008,19969.5,0,0,0,0,19969.5,3195.12
14444,April - June 2008,20681,0,0,0,0,20681,3308.96
14445,April - June 2008,0,0,504,0,0,504,80.64
14446,April - June 2008,2959,0,0,0,0,2959,473.44
14447,April - June 2008,12457.34,0,0,0,0,12457.34,1993.17
14448,April - June 2008,0,0,1484,0,0,1484,237.44
14449,April - June 2008,9505.5,0,0,0,0,9505.5,1520.88
14450,April - June 2008,16816,0,0,0,0,16816,2690.56
14451,April - June 2008,108513.75,0,0,0,0,108513.75,17362.2
14452,April - June 2008,30802,0,8580,0,0,39382,6301.12
14453,April - June 2008,0,0,3816,0,0,3816,610.56
14454,April - June 2008,0,0,1859,0,0,1859,297.44
14455,April - June 2008,3291,0,0,0,0,3291,526.56
14650,July - September 2008,8257.32,0,0,0,0,8257.32,1321.17
14651,July - September 2008,236,0,870,0,0,1106,176.96
14652,July - September 2008,3978,0,0,0,0,3978,636.48
14653,July - September 2008,0,0,3573,0,0,3573,571.68
14655,July - September 2008,18763,0,0,0,0,18763,3002.08
14656,July - September 2008,0,0,1204,0,0,1204,192.64
14657,July - September 2008,33379,0,0,0,0,33379,5340.64
14658,July - September 2008,14737.06,0,0,0,0,14737.06,2357.93
14659,July - September 2008,20120,0,0,0,0,20120,3219.2
14660,July - September 2008,16643.53,0,0,0,0,16643.53,2662.97
14661,July - September 2008,15666.6,0,0,0,0,15666.6,2506.66
14662,July - September 2008,15706.1,0,0,0,0,15706.1,2512.98
14663,July - September 2008,0,0,1431,0,0,1431,228.96
14664,July - September 2008,10137.59,0,0,0,0,10137.59,1622.01
14665,October - December 2008,25811.42,0,0,0,0,25811.42,4129.83
14666,July - September 2008,329,0,1012,0,0,1341,214.56
14667,July - September 2008,0,0,3117,0,0,3117,498.72
14668,July - September 2008,29264,0,0,0,0,29264,4682.24
14673,July - September 2008,18283,0,0,0,0,18283,2925.28
14674,July - September 2008,0,0,3577,0,0,3577,572.32
14675,July - September 2008,1031,0,2898,0,0,3929,628.64
14678,July - September 2008,1674,0,0,0,0,1674,267.84
14679,July - September 2008,0,0,1842,0,0,1842,294.72
14680,July - September 2008,0,0,1565.38,0,0,1565.38,250.46
14681,July - September 2008,0,0,716.38,0,0,716.38,114.62
14682,July - September 2008,0,0,700,0,0,700,112
14683,July - September 2008,1502,0,891,0,0,2393,382.88
14684,July - September 2008,0,0,18481.5,0,0,18481.5,2957.04
14685,July - September 2008,0,0,1320,0,0,1320,211.2
14686,July - September 2008,10603.34,0,0,0,0,10603.34,1696.53
14687,July - September 2008,0,0,785,0,0,785,125.6
14688,July - September 2008,0,0,2507,0,0,2507,401.12
14689,July - September 2008,9717,0,0,0,0,9717,1554.72
14690,July - September 2008,252,0,1244,0,0,1496,239.36
14691,July - September 2008,62138.82,0,0,0,0,62138.82,9942.21
14692,July - September 2008,17379,0,2590,0,0,19969,3195.04
14693,July - September 2008,14443.56,0,0,0,0,14443.56,2310.97
14694,July - September 2008,4400,0,0,0,0,4400,704
14695,July - September 2008,0,0,2945,0,0,2945,471.2
14696,October - December 2008,0,0,2338,0,0,2338,374.08
14697,July - September 2008,1650,0,0,0,0,1650,264
14699,July - September 2008,0,0,3104,0,0,3104,496.64
14700,July - September 2008,5643.5,0,0,0,0,5643.5,902.96
14701,July - September 2008,0,0,3854,0,0,3854,616.64
14703,October - December 2008,23411.54,0,0,0,0,23411.54,3745.85
14706,July - September 2008,4068,0,0,0,0,4068,650.88
14707,July - September 2008,12233.35,0,0,0,0,12233.35,1957.34
