CR_TxIn,CR_TxOut,CR_bal,EPAID,MD221_In,MD221_Out,MD221_x,MD222_In,MD222_Out,MD222_x,MD223_In,MD223_Out,MD223_x,Eval,Type,MDnet,CRnet

36364689,0,36364689,CAT080013352,0,0,51698248,0,0,5338795,101,888,5389416,DK: 62Mgal. CR self-report matches MD 221(51)+2(5.2)+3(5.3); negligible outflows.,XX#X-#,62411349,61813512
6961957,0,6961957,CAD099452708,44646,59500,22295230,0,186,5614,0,1884,8711,ISOCI 22 Mgal MD; 19 Mgal CR; 61k out to golden eagle,XX#X-#,22292577,18720388
13468012,0,13468012,CAD980887418,9263,4591149,22181264,0,0,1645,0,12738,5842,Evergreen - 22 Mgal in 4.6 Mgal out to LES_ ILD000646780_ Cascade,XX#X-#,17571251,14342425
2889096,1347969,1541127,CAT080025711,13763640,1448918,1297039,0,0,0,0,0,0,Adv Environ. MD 15.1 Mgal in 1.4 out DK; CR 11.6 Mgal in 1.35 out DK. to RFO?,XX#XX#,13608908,10289201
357800,0,357800,NVD982358483,0,123,5328571,0,0,0,0,0,348809,CW Env Mgt NV - 5.7 Mgal in neg out; CR 357 kgal in,XX#X-#,5656930,357800
3084636,0,3084636,AZR000003038,0,0,3457782,0,0,0,0,0,0,Major sink; good agreement +-0.4 over 3.5M,X-#X-#,3457782,3084636
43682,0,43682,ORD980980775,0,0,3140789,0,0,0,0,0,13513,Ind Oil OR - orrco? - MD 3.15 Mgal in ; CR 3.4 Mgal in all C139 ; neg out,XX#X-#,3149436,3408644
0,0,0,AZR000030452,0,0,2570517,0,0,2549,0,0,0,MD sink - AZ - 2573066 GAL,X-#-- ,2573066,0
0,0,0,ORQ000001974,0,0,1916599,0,0,0,0,0,0,MD sink - OR - 1916599 GAL,X-#-- ,1916599,0
0,0,0,ORD180761934,0,0,1859290,0,0,0,0,0,0,MD sink - OR - 1859290 GAL,X-#-- ,1859290,0
4335,0,4335,CAT080033681,445,1299932,256152,27,54,65641,32,99198,27,DK environ; 3.2 Mgal in mostly 223; 1.4 Mgal out mostly DK. dewatering. CR 4k in neg.,XX#X-#,1820652,4335
0,0,0,UTC093012201,0,0,1155107,0,0,0,0,0,621978,MD sink - UT - 1777085 GAL,X-#-- ,1777085,0
0,0,0,CAT000646117,2246,2289,4348,32,60,107756,15785,3633,1461707,Chem Was Mgmt CA 1.6 Mgal in 1.48 223 rest 222>>221 mostly H132 H129; 6k out to veolia; CR 0,XX#-- ,1585892,0
0,0,0,ILD000646780,0,0,1081450,0,0,0,0,0,0,MD sink - IL - 1081450 GAL,X-#-- ,1081450,0
33973,0,33973,CAD028409019,132323,365128,410670,0,0,25858,0,0,611223,C&O 1.2M mostly H129; 0.37 M out mostly DK ISOCI liquid titan? CR 34k #,XX#X-#,811535,33973
0,0,0,UTD981552177,115,2003,492232,0,0,179063,3421,2567,50648,Clean Harbors aragonite 725k in incl 227k H040; 4k out; CR 0,XX#-- ,720909,0
0,0,0,CA7170090016,54,19073,205389,0,13751,472770,26,43241,105903,NAS Haz waste facility in SD. MD sink 700k; +76k mostly to NV; CR 0,XX#-- ,708042,0
0,0,0,UTD070534623,0,0,681500,0,0,0,0,0,0,MD sink - UT - 681500 GAL,X-#-- ,681500,0
0,0,0,CAD980675276,5788,19868,15175,0,0,75321,931,6499,582714,Mostly 223 to H132; most of remainder to Clean harb SJ,XX#-- ,653562,0
19848,0,19848,CAD008302903,12965,25494,222469,0,0,4765,14414,333,423785,Veolia - small txfrs out of state; sink 0.6M MD; 20k CR,XX#X-#,652571,19848
0,0,0,AZR000002428,0,0,33052,0,0,0,0,0,438465,MD sink - AZ - 471517 GAL,X-#-- ,471517,0
80,0,80,NVT330010000,0,0,23691,0,0,64256,0,0,283878,MD near-sink NV 372k mostly 223 no out; CR 80 in no out,X-#X-#,371825,80
0,0,0,CAL000190816,0,4028753,4329795,0,0,0,0,1191,22213,Riverbank txfr 4.4M in 4.0M out 2.45M to TF 1.1M to Cascade .25 cowhouse others; CR 0,XX#-- ,320260,0
0,0,0,AZD983481813,0,0,301790,0,0,0,0,0,5137,MD sink - AZ - 306927 GAL,X-#-- ,306927,0
0,0,0,COR000008524,0,0,300008,0,0,0,0,0,0,MD sink - CO - 300008 GAL,X-#-- ,300008,0
0,0,0,UTR000000786,0,0,297692,0,0,0,0,0,0,MD sink - UT - 297692 GAL,X-#-- ,297692,0
0,0,0,KSD981506025,0,0,263277,0,0,0,0,0,0,MD sink - KS - 263277 GAL,X-#-- ,263277,0
0,0,0,AZR000033381,0,0,250276,0,0,0,0,0,0,MD sink - AZ - 250276 GAL,X-#-- ,250276,0
0,0,0,TXR000050013,0,0,246235,0,0,0,0,0,0,MD sink - TX - 246235 GAL,X-#-- ,246235,0
0,0,0,CAD009452657,0,57477,74673,0,0,16192,5,568,251048,223 processor sink 250k; 221 source MD 60k to Ev TF; CR 63k to Ev unk,XX#-X+,214818,-63247
0,0,3424773,CA9999999999,0,0,206226,0,0,4814,0,0,1317,Destination Unknown 3.4 Mgal CR; 212k MD 221,X-#X-#,212357,3424773
1864370,1226284,1864370,CAT080012602,1506437,3298770,2010754,0,0,0,0,0,0,DK dixon MD 3.5 in 3.3 out all DK; CR 1.8 in 1.2 out all DK,XX#XX#,211295,638086
50650,0,50650,CAD059494310,129437,86792,33598,93600,14787,1838,36943,31196,10115,clean harbors - 305k in 172k out to everywhere; CR 51k in,XX#X-#,172756,50650
0,0,0,CAD093459485,0,566,11763,0,0,138320,0,0,5744,Safety Kleen - H129 136k gal 221-222-223; CR 0,XX#-- ,155261,0
0,0,0,CAD982446874,2708001,2761840,239576,0,0,2026,0,0,0,Ev Davis; 2.95 Mgal in 2.8 Mgal out 2.63 Ev; rest Ind Oil; CR 0,XX#-- ,150128,0
0,0,0,NVD980895338,0,0,23002,0,0,8863,0,0,111253,MD sink - NV - 143118 GAL,X-#-- ,143118,0
0,0,0,AZC951206114,0,0,38492,0,0,10188,0,0,81084,MD sink - AZ - 129764 GAL,X-#-- ,129764,0
0,0,0,WAD991281767,0,0,4074,0,0,255,0,0,109438,MD sink - WA - 113767 GAL,X-#-- ,113767,0
0,0,0,AZ0000337360,0,0,82721,0,0,0,0,0,26619,MD sink - AZ - 109340 GAL,X-#-- ,109340,0
0,0,0,CAD080013352,0,0,48150,0,0,0,0,0,52373,MD sink - CA - 100523 GAL,X-#-- ,100523,0
41175,0,41175,AZR000035915,0,0,73051,0,0,246,0,0,15144,AZ sink; MD 88k vs CR 41k,X-#X-#,88441,41175
0,0,0,IAD984591032,0,0,75307,0,0,0,0,0,0,MD sink - IA - 75307 GAL,X-#-- ,75307,0
358785,0,358785,CAD982446858,1634873,1719227,152215,0,0,0,0,0,0,Ev Oil Sta Maria; 1.79 Mgal in 1.72 Mgal out 1.64 Ev .08 ISOCI; CR 0.36 in no out,XX#X-#,67834,358785
0,0,0,CAD008364432,0,0,47370,0,0,11535,19490,18266,12128,H129 processor; 60k net #; sends 13k to DK; CR 0,XX#-- ,60252,0
0,0,0,AZR000500587,0,0,55608,0,0,0,0,0,0,MD sink - AZ - 55608 GAL,X-#-- ,55608,0
0,0,0,OR0000001974,0,0,54811,0,0,0,0,0,0,MD sink - OR - 54811 GAL,X-#-- ,54811,0
0,0,0,KYD053348108,0,0,47764,0,0,571,0,0,5545,MD sink - KY - 53880 GAL,X-#-- ,53880,0
0,0,0,ARZ000030452,0,0,50840,0,0,0,0,0,0,MD sink - AR - 50840 GAL,X-#-- ,50840,0
0,0,0,AZD081705402,0,0,29769,0,0,2411,0,0,16547,MD sink - AZ - 48727 GAL,X-#-- ,48727,0
0,0,0,AZC950823111,0,0,4614,0,0,0,0,0,44015,MD sink - AZ - 48629 GAL,X-#-- ,48629,0
3513844,0,3513844,CAL000161743,8705,6476251,6280023,0,0,3836,2174,354973,581767,6.4 Mgal H039 misclassified; should be H141; to CW env mgt 4.7M; Ev 1.1M; Dk .66M; CR 3.5 Mgal in to nowhere,XX#X-#,44539,3513844
0,0,0,CAD008252405,16,186,25108,0,0,54,0,0,16615,MD near-sink CA - 41k gal 221 223,XX#-- ,41607,0
0,0,0,CAT170090016,0,0,19412,0,0,0,0,0,17698,MD sink - CA - 37110 GAL,X-#-- ,37110,0
0,0,10875,AZR000003681,0,0,35409,0,0,0,0,0,0,CR 10k self-txfr; MD 34k,X-#XX ,35409,0
0,0,0,KSD980633259,0,0,31168,0,0,0,0,0,3353,MD sink - KS - 34521 GAL,X-#-- ,34521,0
0,0,0,CAD044429835,0,0,44121,0,0,64,0,44653,34444,Clean Harbors 78k in 45k to DK; CR 0,XX#-- ,33976,0
0,0,0,CAD099452703,0,0,30804,0,0,0,0,0,0,MD sink - CA - 30804 GAL,X-#-- ,30804,0
0,0,0,IND000646943,0,0,8512,0,0,182,0,0,18760,MD sink - IN - 27454 GAL,X-#-- ,27454,0
0,0,0,ORD000001974,0,0,27405,0,0,0,0,0,0,MD sink - OR - 27405 GAL,X-#-- ,27405,0
0,0,522206,ORD980975692,0,0,27082,0,0,0,0,0,312,ORRCO MD 27k in no out; CR 631k in: 261k self txfr; 370 k self report. no idea.,X-#XX#,27394,369682
0,0,0,WAD980511729,0,0,26373,0,0,0,0,0,0,MD sink - WA - 26373 GAL,X-#-- ,26373,0
0,0,0,IND077042034,0,0,25201,0,0,0,0,0,0,MD sink - IN - 25201 GAL,X-#-- ,25201,0
0,0,0,NVR000066837,0,0,24509,0,0,68,0,0,0,MD sink - NV - 24577 GAL,X-#-- ,24577,0
0,0,0,AZD009015389,0,0,15785,0,0,249,0,0,3156,MD sink - AZ - 19190 GAL,X-#-- ,19190,0
0,0,0,CAD981694420,0,0,18396,0,0,0,0,0,0,MD sink - CA - 18396 GAL,X-#-- ,18396,0
0,0,0,CAD097030993,10489,16251,8936,0,0,9098,3535,6144,8279,Dewatering processor? almost all to DK,XX#-- ,17942,0
0,0,0,ORD000712067,0,0,14293,0,301,1549,0,0,0,Safety Kleen OR 16k in mostly 221; 300 gal 222 to DK; CR 0,XX#-- ,15541,0
0,0,0,CAD981168107,25386,9524,3054,0,0,0,1533,5826,49,SDGE - appears to consume 15k - 15k to clean harbors; CR 0,XX#-- ,14672,0
0,0,0,CAT981696420,0,0,501,0,0,0,0,0,13183,MD sink - CA - 13684 GAL,X-#-- ,13684,0
0,0,0,CAT080014079,12164,190,1797,0,0,54,8613,9309,491,Veolia Richmond CA 23k in 10k out 223. CR 0. presume RFO,XX#-- ,13620,0
0,0,0,NVD982441529,0,60,12560,0,0,0,0,0,0,MD near-sink NV 12.5k; CR 0,XX#-- ,12500,0
0,0,0,NED981723513,0,0,424,0,0,339,0,0,10007,MD sink - NE - 10770 GAL,X-#-- ,10770,0
0,0,0,CAD097452708,0,0,8130,0,0,0,0,0,0,MD sink - CA - 8130 GAL,X-#-- ,8130,0
0,0,0,CAD099452709,0,0,7993,0,0,0,0,0,0,MD sink - CA - 7993 GAL,X-#-- ,7993,0
0,0,0,ORQ000007781,0,0,7648,0,0,0,0,0,0,MD sink - OR - 7648 GAL,X-#-- ,7648,0
0,0,0,CAD180761934,0,0,6851,0,0,0,0,0,0,MD sink - CA - 6851 GAL,X-#-- ,6851,0
0,0,0,CAD982246882,0,0,5500,0,0,0,0,0,0,MD sink - CA - 5500 GAL,X-#-- ,5500,0
0,0,0,NVD981358483,0,0,5479,0,0,0,0,0,0,MD sink - NV - 5479 GAL,X-#-- ,5479,0
0,0,0,CAT981693422,0,0,1555,0,0,0,0,0,3175,MD sink - CA - 4730 GAL,X-#-- ,4730,0
0,0,0,CAD09452708,0,0,4564,0,0,0,0,0,0,MD sink - CA - 4564 GAL,X-#-- ,4564,0
0,0,0,CAD982446262,0,0,4052,0,0,0,0,0,0,MD sink - CA - 4052 GAL,X-#-- ,4052,0
0,0,0,CAD982446862,0,0,3937,0,0,0,0,0,0,MD sink - CA - 3937 GAL,X-#-- ,3937,0
0,0,0,AZR24503038,0,0,3499,0,0,0,0,0,0,MD sink - AZ - 3499 GAL,X-#-- ,3499,0
0,0,0,CAT000013352,0,0,3425,0,0,0,0,0,0,MD sink - CA - 3425 GAL,X-#-- ,3425,0
0,0,0,CAD044035567,0,0,3310,0,0,0,0,0,0,MD sink - CA - 3310 GAL,X-#-- ,3310,0
0,0,0,CAT080013532,0,0,3107,0,0,0,0,0,0,MD sink - CA - 3107 GAL,X-#-- ,3107,0
0,0,0,CAL044003556,0,0,3009,0,0,0,0,0,0,MD sink - CA - 3009 GAL,X-#-- ,3009,0
0,0,0,CAL004003556,0,0,2949,0,0,0,0,0,0,MD sink - CA - 2949 GAL,X-#-- ,2949,0
0,0,0,CAT080053352,0,0,1884,0,0,0,0,0,942,MD sink - CA - 2826 GAL,X-#-- ,2826,0
0,0,0,CAL000161746,0,0,2817,0,0,0,0,0,0,MD sink - CA - 2817 GAL,X-#-- ,2817,0
0,0,0,CAD981423539,0,0,2795,0,0,0,0,0,0,MD sink - CA - 2795 GAL,X-#-- ,2795,0
0,0,0,CA0099452709,0,0,2710,0,0,0,0,0,0,MD sink - CA - 2710 GAL,X-#-- ,2710,0
0,0,0,CAD098452708,0,0,2511,0,0,0,0,0,0,MD sink - CA - 2511 GAL,X-#-- ,2511,0
0,0,0,CAD09945222,0,0,2511,0,0,0,0,0,0,MD sink - CA - 2511 GAL,X-#-- ,2511,0
0,0,0,CAT000625137,0,20178,19581,0,0,0,0,0,3075,So Cal Gas 23k in 20k out EES; CR 0,XX#-- ,2478,0
0,0,0,CAD982484933,0,0,2327,0,0,0,0,0,0,MD sink - CA - 2327 GAL,X-#-- ,2327,0
0,0,0,CA0099455577,0,0,2283,0,0,0,0,0,0,MD sink - CA - 2283 GAL,X-#-- ,2283,0
0,0,0,CA9059494310,0,0,2283,0,0,0,0,0,0,MD sink - CA - 2283 GAL,X-#-- ,2283,0
0,0,0,CAD,0,0,2283,0,0,0,0,0,0,MD sink - CA - 2283 GAL,X-#-- ,2283,0
0,0,0,CAL000170816,0,0,2196,0,0,0,0,0,0,MD sink - CA - 2196 GAL,X-#-- ,2196,0
0,0,0,CAD044003557,0,0,2190,0,0,0,0,0,0,MD sink - CA - 2190 GAL,X-#-- ,2190,0
0,0,0,CAD044403556,0,0,2105,0,0,0,0,0,0,MD sink - CA - 2105 GAL,X-#-- ,2105,0
0,0,0,CA0004003556,0,0,2026,0,0,0,0,0,0,MD sink - CA - 2026 GAL,X-#-- ,2026,0
0,0,0,CAD982446822,0,0,1996,0,0,0,0,0,0,MD sink - CA - 1996 GAL,X-#-- ,1996,0
0,0,0,CAD981676420,0,0,1974,0,0,0,0,0,0,MD sink - CA - 1974 GAL,X-#-- ,1974,0
0,0,0,AXR24503038,0,0,1938,0,0,0,0,0,0,MD sink - AX - 1938 GAL,X-#-- ,1938,0
0,0,0,CAD099457208,0,0,1938,0,0,0,0,0,0,MD sink - CA - 1938 GAL,X-#-- ,1938,0
0,0,0,CAD982446824,0,0,1916,0,0,0,0,0,0,MD sink - CA - 1916 GAL,X-#-- ,1916,0
0,0,0,CAL000470191,0,0,1884,0,0,0,0,0,0,MD sink - CA - 1884 GAL,X-#-- ,1884,0
0,0,0,NVD980893660,0,0,512,0,0,0,0,0,1369,MD sink - NV - 1881 GAL,X-#-- ,1881,0
0,0,0,CAD98244874,0,0,1801,0,0,0,0,0,0,MD sink - CA - 1801 GAL,X-#-- ,1801,0
0,0,0,AZ424503038,0,0,1711,0,0,0,0,0,0,MD sink - AZ - 1711 GAL,X-#-- ,1711,0
0,0,0,CAD099452705,0,0,1711,0,0,0,0,0,0,MD sink - CA - 1711 GAL,X-#-- ,1711,0
0,0,0,CAD980887918,0,0,1711,0,0,0,0,0,0,MD sink - CA - 1711 GAL,X-#-- ,1711,0
0,0,0,CAL000190819,0,0,1711,0,0,0,0,0,0,MD sink - CA - 1711 GAL,X-#-- ,1711,0
0,0,0,CAD044003356,0,0,1700,0,0,0,0,0,0,MD sink - CA - 1700 GAL,X-#-- ,1700,0
0,0,0,CAD981142653,0,0,1684,0,0,0,0,0,0,MD sink - CA - 1684 GAL,X-#-- ,1684,0
0,0,0,CAD099452,0,0,1632,0,0,0,0,0,0,MD sink - CA - 1632 GAL,X-#-- ,1632,0
0,0,0,CAD044003551,0,0,1596,0,0,0,0,0,0,MD sink - CA - 1596 GAL,X-#-- ,1596,0
0,0,0,CAD980183950,0,0,1552,0,0,0,0,0,0,MD sink - CA - 1552 GAL,X-#-- ,1552,0
0,0,0,CAL000190418,0,0,1545,0,0,0,0,0,0,MD sink - CA - 1545 GAL,X-#-- ,1545,0
